,Date,Open,High,Low,Close,Adj Close,Volume,adjustRatio,Label
4697,2022-12-06,156.03,156.56,146.7,156.24,147.5,2847600,1.06,0
4698,2022-12-07,156.06,156.88,146.29,156.0,147.27,3971300,1.06,0
4699,2022-12-08,156.66,157.98,147.37,156.53,147.78,2665700,1.06,0
4700,2022-12-09,156.13,157.12,146.97,155.76,147.05,3047600,1.06,0
4701,2022-12-12,156.57,158.04,146.94,158.04,149.21,4032800,1.06,0
4702,2022-12-13,159.28,162.29,149.95,159.49,150.57,8811500,1.06,2
4703,2022-12-14,159.38,160.91,148.45,158.74,149.86,4205900,1.06,0
4704,2022-12-15,157.32,157.8,141.58,150.79,142.36,6687000,1.06,0
4705,2022-12-16,149.62,150.33,138.97,148.46,140.16,9834400,1.06,0
4706,2022-12-19,148.47,148.76,137.2,147.1,138.87,5282900,1.06,1
4707,2022-12-20,147.06,149.81,138.34,149.65,141.28,5156500,1.06,0
4708,2022-12-21,150.24,151.57,140.98,150.56,142.14,3793700,1.06,0
4709,2022-12-22,149.3,149.82,138.62,149.23,140.88,3337100,1.06,0
4710,2022-12-23,148.92,150.26,139.6,150.04,141.65,2092500,1.06,0
4711,2022-12-27,150.12,151.17,141.23,150.85,142.42,2742400,1.06,0
4712,2022-12-28,150.83,151.27,139.95,148.31,140.02,2539500,1.06,1
4713,2022-12-29,148.91,150.69,140.45,149.42,141.06,2337200,1.06,0
4714,2022-12-30,148.87,149.25,139.45,149.24,140.89,2858000,1.06,0
4715,2023-01-03,149.46,150.31,140.48,149.94,141.55,3338600,1.06,0
4716,2023-01-04,150.48,152.12,141.37,151.04,142.6,3869200,1.06,0
4717,2023-01-05,150.88,150.94,140.01,149.47,141.11,2866600,1.06,0
4718,2023-01-06,150.82,152.8,141.58,152.22,143.7,3574000,1.06,0
4719,2023-01-09,152.62,154.09,143.4,152.06,143.55,3987700,1.06,0
4720,2023-01-10,152.12,153.43,142.9,153.38,144.8,2152100,1.06,0
4721,2023-01-11,153.59,154.15,143.45,153.86,145.26,3268700,1.06,0
4722,2023-01-12,153.46,155.35,144.52,154.17,145.55,2715900,1.06,0
4723,2023-01-13,152.6,154.76,144.01,154.53,145.89,2455700,1.06,2
4724,2023-01-17,155.09,155.9,145.01,153.79,145.19,2986500,1.06,0
4725,2023-01-18,152.95,153.25,140.23,148.72,140.41,6445600,1.06,1
4726,2023-01-19,148.29,150.65,139.75,148.95,140.62,4833900,1.06,0
4727,2023-01-20,150.07,150.27,140.51,149.57,141.2,7153300,1.06,0
4728,2023-01-23,149.77,151.46,141.06,150.26,141.86,5898400,1.06,0
4729,2023-01-24,149.61,151.2,140.0,149.87,141.49,4407600,1.06,0
4730,2023-01-25,148.79,149.38,139.36,149.1,140.76,7347500,1.06,0
4731,2023-01-26,145.68,146.46,132.98,142.42,134.45,17548500,1.06,0
4732,2023-01-27,142.41,143.52,133.77,142.36,134.39,8143100,1.06,1
4733,2023-01-30,142.28,144.18,133.98,143.32,135.3,5375700,1.06,0
4734,2023-01-31,143.52,143.68,133.76,142.71,134.73,7206400,1.06,0
4735,2023-02-01,142.45,143.83,132.8,143.09,135.09,5428900,1.06,0
4736,2023-02-02,144.02,144.82,134.85,144.47,136.39,6107800,1.06,0
4737,2023-02-03,144.43,145.06,135.53,145.05,136.94,3755700,1.06,2
4738,2023-02-06,143.88,144.4,134.95,144.25,136.18,4841300,1.06,0
4739,2023-02-07,143.71,144.48,134.45,143.89,135.84,3737600,1.06,0
4740,2023-02-08,143.74,144.83,135.16,144.03,135.98,4593700,1.06,0
4741,2023-02-09,141.25,142.03,133.34,139.96,133.75,3918800,1.05,1
4742,2023-02-10,139.98,142.07,133.5,141.89,135.6,5049600,1.05,0
4743,2023-02-13,142.31,143.76,135.85,143.72,137.35,4403000,1.05,0
4744,2023-02-14,143.41,143.61,135.05,142.32,136.01,3202200,1.05,0
4745,2023-02-15,141.48,142.78,135.07,142.73,136.4,2506700,1.05,0
4746,2023-02-16,141.85,142.27,134.59,141.26,135.0,2965500,1.05,0
4747,2023-02-17,140.73,141.86,133.89,141.28,135.02,3466200,1.05,0
4748,2023-02-21,140.22,140.63,131.66,137.82,131.71,4257200,1.05,0
4749,2023-02-22,138.02,138.12,130.29,137.05,130.97,3200200,1.05,0
4750,2023-02-23,137.6,137.81,128.86,136.86,130.79,3725600,1.05,0
4751,2023-02-24,135.63,136.73,129.22,136.63,130.57,3015800,1.05,0
4752,2023-02-27,137.51,137.98,130.13,136.54,130.49,2761300,1.05,0
4753,2023-02-28,136.6,136.67,129.14,135.3,129.3,5143100,1.05,0
4754,2023-03-01,134.88,135.47,127.74,134.13,128.19,3760700,1.05,0
4755,2023-03-02,134.34,135.21,127.71,134.9,128.93,3340100,1.05,0
4756,2023-03-03,135.35,135.94,128.77,135.66,129.64,2860300,1.05,0
4757,2023-03-06,135.65,136.93,129.59,136.23,130.19,3131200,1.05,0
4758,2023-03-07,136.32,136.46,128.19,134.19,128.25,3530400,1.05,0
4759,2023-03-08,134.44,134.72,127.55,133.99,128.05,2778800,1.05,0
4760,2023-03-09,134.25,134.49,125.98,132.01,126.16,5478300,1.05,0
4761,2023-03-10,131.97,133.19,125.13,131.27,125.45,5990900,1.05,0
4762,2023-03-13,130.96,134.14,124.85,131.41,125.58,8188400,1.05,0
4763,2023-03-14,132.36,132.52,123.2,130.44,124.65,8114800,1.05,0
4764,2023-03-15,128.69,129.07,121.71,128.99,123.28,5989300,1.05,1
4765,2023-03-16,128.67,130.61,121.92,130.49,124.7,6438700,1.05,0
4766,2023-03-17,129.83,130.29,122.93,129.42,123.69,37400200,1.05,0
4767,2023-03-20,130.07,132.01,124.19,131.78,125.94,4588300,1.05,0
4768,2023-03-21,132.79,133.05,125.66,132.44,126.57,3856300,1.05,0
4769,2023-03-22,132.89,133.12,124.01,129.81,124.05,3549000,1.05,0
4770,2023-03-23,129.55,130.73,122.6,129.09,123.37,4651900,1.05,1
4771,2023-03-24,129.08,131.21,122.88,131.1,125.29,3812300,1.05,0
4772,2023-03-27,132.33,136.3,126.47,135.31,129.31,6524100,1.05,0
4773,2023-03-28,135.17,135.67,128.8,135.34,129.34,2888900,1.05,0
4774,2023-03-29,136.16,136.4,129.18,135.73,129.71,3279600,1.05,0
